{saved1=1.2102956045974557E-4, saveda10=7.400267136428085E-4, saved3=8.780017286640767E-9, savedb10=5.620218886476346E-9, CFJ6UW6tW=7.911083953409663E-4, savedb0=9.14508837577131E-5, savedc1=4.7590840703117606E-4, savedb1=2.984898177325306E-6, savedb2=2.9065267614185355E-8, savedb3=3.854934870616017E-10, savedb4=9.84833987400786E-7, savedb5=1.362670158443182E-5, saveda5=1.234241222685519E-4, savedb6=4.7403857593598254E-5, saveda6=1.4710005122220063E-4, savedb7=0.9975435313921553, saveda7=1.7789213828100212E-4, savedb8=3.296985262798459E-12, saveda8=1.7000950401760813E-4, savedb9=4.258129872161925E-13, saveda9=1.5023083002909933E-4}
{saved1=3.0002884505097564E-5, saveda10=8.113220892057763E-9, saved3=1.8940511247224874E-13, savedb10=3.240121095377455E-5, CFJ6UW6tW=1.3561316219933139E-10, savedb0=0.0021228785542921885, savedc1=8.193844862486726E-8, savedb1=0.0016680372282411003, savedb2=7.869602271646852E-8, savedb3=1.2317694936984023E-7, savedb4=6.638349479421083E-5, savedb5=0.9937557947783627, saveda5=3.814468492303055E-5, savedb6=0.0012287522825446097, saveda6=4.339801438593884E-5, savedb7=9.877599434207947E-8, saveda7=4.7585634523201105E-5, savedb8=1.2080708602878546E-9, saveda8=4.5398843109281474E-5, savedb9=2.0352715111604064E-4, saveda9=4.386459866545241E-5}
{saved1=1.2102955331136155E-4, saveda10=7.40026492118643E-4, saved3=8.780016116477018E-9, savedb10=5.620216283732227E-9, CFJ6UW6tW=7.911082523014122E-4, savedb0=9.145085429891918E-5, savedc1=4.7590845326882404E-4, savedb1=2.984897220491424E-6, savedb2=2.9065268044852365E-8, savedb3=3.854932571710631E-10, savedb4=9.848335225589697E-7, savedb5=1.362670024015849E-5, saveda5=1.2342411429003148E-4, savedb6=4.740383002314582E-5, saveda6=1.4710004217109132E-4, savedb7=0.9975435311981988, saveda7=1.7789212781054063E-4, savedb8=3.2969852769639297E-12, saveda8=1.7000949372930732E-4, savedb9=4.25812823780271E-13, saveda9=1.502308211934482E-4}
{saved1=2.9983497758591754E-5, saveda10=8.045600796820686E-9, saved3=1.9137552538592666E-13, savedb10=3.231116068714832E-5, CFJ6UW6tW=1.3498619759447753E-10, savedb0=0.002117422239768473, savedc1=8.221976193677528E-8, savedb1=0.0016660295814138204, savedb2=7.869895752816796E-8, savedb3=1.2271544760557073E-7, savedb4=6.633253749975658E-5, savedb5=0.9937519199747893, saveda5=3.8119677379334995E-5, savedb6=0.0012281433035893166, saveda6=4.3369120496699984E-5, savedb7=9.863398141564086E-8, saveda7=4.755490646771587E-5, savedb8=1.2164004933436762E-9, saveda8=4.5369251961136294E-5, savedb9=2.0505201113575034E-4, saveda9=4.383598312168298E-5}
{saved1=1.2099650751988533E-4, saveda10=7.390028233688657E-4, saved3=8.774607392312129E-9, savedb10=5.608192196622294E-9, CFJ6UW6tW=7.904471306789461E-4, savedb0=9.131467898494993E-5, savedc1=4.761224760303858E-4, savedb1=2.9804744880055962E-6, savedb2=2.9067266733344536E-8, savedb3=3.8443149078433887E-10, savedb4=9.826854413859975E-7, savedb5=1.3620476032460953E-5, saveda5=1.2338723186689526E-4, savedb6=4.7276476635333564E-5, saveda6=1.4705820112168188E-4, savedb7=0.997542633741087, saveda7=1.778437251651891E-4, savedb8=3.2970529654534997E-12, saveda8=1.6996193314031157E-4, savedb9=4.250573976700689E-13, saveda9=1.5018997528061073E-4}
{saved1=2.9700587727117472E-5, saveda10=7.048581722547254E-9, saved3=2.1692695178119685E-13, savedb10=3.16045790319551E-5, CFJ6UW6tW=1.2897252081804192E-10, savedb0=0.0020972212852989314, savedc1=8.538485170935357E-8, savedb1=0.0016519642691768647, savedb2=8.002592862893924E-8, savedb3=1.1854191679228721E-7, savedb4=6.638957340899697E-5, savedb5=0.9936573295498808, saveda5=3.7743989183006076E-5, savedb6=0.0011980168227017885, saveda6=4.294107339736293E-5, savedb7=9.569730192987888E-8, saveda7=4.710092834485554E-5, savedb8=1.3224132099080084E-9, saveda8=4.4929762212777E-5, savedb9=2.257655932777579E-4, saveda9=4.342633502210989E-5}
{saved1=2.9700587727275952E-5, saveda10=7.048581723005465E-9, saved3=2.1692695175659598E-13, savedb10=3.1604579033182754E-5, CFJ6UW6tW=1.2897252082553628E-10, savedb0=0.0020972212853936005, savedc1=8.538485170587174E-8, savedb1=0.0016519642692062956, savedb2=8.002592862998835E-8, savedb3=1.1854191679807332E-7, savedb4=6.638957341011123E-5, savedb5=0.9936573295498887, saveda5=3.7743989183200846E-5, savedb6=0.0011980168226884782, saveda6=4.2941073397593356E-5, savedb7=9.569730193025861E-8, saveda7=4.7100928345101767E-5, savedb8=1.3224132098087552E-9, saveda8=4.492976221301212E-5, savedb9=2.2576559326056682E-4, saveda9=4.342633502235039E-5}
{saved1=2.9700697065435078E-5, saveda10=7.048947187103532E-9, saved3=2.1691623028854758E-13, savedb10=3.160484848409618E-5, CFJ6UW6tW=1.289748110731519E-10, savedb0=0.0020972291292509996, savedc1=8.538357447746809E-8, savedb1=0.001651969699406929, savedb2=8.002540566958071E-8, savedb3=1.185435046511928E-7, savedb4=6.638955100469859E-5, savedb5=0.9936573683146112, saveda5=3.7744134262397305E-5, savedb6=0.0011980282722792918, saveda6=4.29412387848769E-5, savedb7=9.569842415920836E-8, saveda7=4.710110376586438E-5, savedb8=1.3223695869864124E-9, saveda8=4.4929932004540685E-5, savedb9=2.257570593698049E-4, saveda9=4.342649335602157E-5}
{saved1=1.2102956046049302E-4, saveda10=7.400267136659736E-4, saved3=8.780017286763137E-9, savedb10=5.620218886748536E-9, CFJ6UW6tW=7.911083953559252E-4, savedb0=9.145088376079384E-5, savedc1=4.759084070263406E-4, savedb1=2.98489817742537E-6, savedb2=2.9065267614140128E-8, savedb3=3.854934870856427E-10, savedb4=9.848339874493986E-7, savedb5=1.3626701584572405E-5, saveda5=1.2342412226938604E-4, savedb6=4.740385759648134E-5, saveda6=1.4710005122314744E-4, savedb7=0.9975435313921757, saveda7=1.7789213828209655E-4, savedb8=3.2969852627969713E-12, saveda8=1.7000950401868396E-4, savedb9=4.258129872332855E-13, saveda9=1.5023083003002334E-4}
{saved1=1.2102956037941485E-4, saveda10=7.400267111534036E-4, saved3=8.780017273490907E-9, savedb10=5.620218857227724E-9, CFJ6UW6tW=7.911083937335437E-4, savedb0=9.145088342666662E-5, savedc1=4.7590840755077664E-4, savedb1=2.9848981665727793E-6, savedb2=2.9065267619024974E-8, savedb3=3.854934844781795E-10, savedb4=9.848339821770734E-7, savedb5=1.3626701569325373E-5, saveda5=1.234241221788921E-4, savedb6=4.740385728377198E-5, saveda6=1.471000511204878E-4, savedb7=0.9975435313899759, saveda7=1.7789213816333838E-4, savedb8=3.296985262957653E-12, saveda8=1.7000950390199204E-4, savedb9=4.258129853795636E-13, saveda9=1.5023082992980766E-4}
