{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=1.064855274657176E-4, saveda10=6.84710851955163E-7, saved3=0.0031207459332423812, savedb10=4.656178735217573E-11, CFJ6UW6tW=4.058496889682761E-9, savedb0=5.205310808809797E-12, savedc1=0.9953918875667264, savedb1=8.021795755594233E-9, savedb2=5.740292961871794E-7, savedb3=2.3216838065457103E-10, savedb4=1.1764287762024593E-9, savedb5=3.3204702324186296E-9, saveda5=1.3720744649580927E-4, savedb6=5.976505727799381E-6, saveda6=1.4481335203919666E-4, savedb7=2.411243051426633E-4, saveda7=1.7011421020849603E-4, savedb8=1.3795926499919611E-4, saveda8=1.6632693737852225E-4, savedb9=1.3999400428675902E-7, saveda9=1.3376136186754763E-4}
{saved1=3.44813626392833E-6, saveda10=1.6456207918024757E-6, saved3=7.628457656495664E-9, savedb10=2.096544825600734E-6, CFJ6UW6tW=0.7650093655219539, savedb0=0.8061171936751803, savedc1=1.7852414724762265E-11, savedb1=2.459008557162575E-7, savedb2=2.7763381904479987E-4, savedb3=1.0797980659591025E-5, savedb4=0.05917390781577101, savedb5=0.0034526813303671702, saveda5=5.554588494289265E-6, savedb6=1.0009494058950802E-8, saveda6=5.689096596942201E-6, savedb7=0.016452640143463385, saveda7=6.702062845969747E-6, savedb8=1.2661918832437564E-16, saveda8=5.7752329768157854E-6, savedb9=1.657998673334639E-10, saveda9=4.800634424421111E-6}
{saved1=3.864577568932176E-5, saveda10=8.429633365967769E-4, saved3=2.0637697398546885E-6, savedb10=2.649763143878507E-7, CFJ6UW6tW=0.9958841098772973, savedb0=2.632329544680161E-5, savedc1=1.0688657486875941E-8, savedb1=3.698242495948453E-9, savedb2=0.0019531381922809174, savedb3=5.538396997220997E-4, savedb4=3.889236328604049E-5, savedb5=2.1918284811792354E-9, saveda5=5.2404596787654534E-5, savedb6=7.018235943645653E-12, saveda6=5.351330731113478E-5, savedb7=2.4847939645281526E-4, saveda7=6.513648011993634E-5, savedb8=2.873182419387235E-11, saveda8=5.7502144378459566E-5, savedb9=6.528898474438243E-10, saveda9=4.632357810387183E-5}
{saved1=4.024732939343683E-6, saveda10=1.5692160076108197E-6, saved3=8.081813502238289E-9, savedb10=1.2692922104445432E-6, CFJ6UW6tW=0.7742350368654953, savedb0=0.7697590431022981, savedc1=2.7055614795265128E-11, savedb1=1.8173006823722167E-7, savedb2=3.12125935195524E-4, savedb3=8.562264691792998E-6, savedb4=0.04612304315031991, savedb5=0.0034465302938472726, saveda5=6.484153912892988E-6, savedb6=7.998973901896263E-9, saveda6=6.631202086562204E-6, savedb7=0.020436846169206047, saveda7=7.799332333364703E-6, savedb8=9.359088859108185E-17, saveda8=6.722507681061514E-6, savedb9=1.2835795657791373E-10, saveda9=5.590835538387365E-6}
{saved1=2.6472790185814165E-6, saveda10=0.004792057427573001, saved3=0.9934897774462352, savedb10=1.2387710001431215E-11, CFJ6UW6tW=3.238602041095551E-6, savedb0=3.266881274583716E-12, savedc1=0.0018591353333406605, savedb1=1.1320076979084296E-10, savedb2=3.2706547323606706E-4, savedb3=1.2274794289950761E-8, savedb4=2.4512538065040342E-6, savedb5=1.3171068178571942E-12, saveda5=3.839346471306459E-6, savedb6=1.2060133966752292E-7, saveda6=3.7884301088821534E-6, savedb7=5.147569576618212E-5, saveda7=4.7358689691289415E-6, savedb8=8.731176833096633E-4, saveda8=4.338353057948939E-6, savedb9=3.131547478296851E-8, saveda9=3.1015228832340695E-6}
{saved1=4.024732939343704E-6, saveda10=1.5692160076107975E-6, saved3=8.081813502238175E-9, savedb10=1.2692922104444756E-6, CFJ6UW6tW=0.7742350368654917, savedb0=0.7697590431022933, savedc1=2.705561479526609E-11, savedb1=1.817300682372168E-7, savedb2=3.121259351955213E-4, savedb3=8.562264691792787E-6, savedb4=0.04612304315031831, savedb5=0.003446530293847217, saveda5=6.484153912893012E-6, savedb6=7.998973901896179E-9, saveda6=6.63120208656224E-6, savedb7=0.020436846169206404, saveda7=7.799332333364745E-6, savedb8=9.359088859108185E-17, saveda8=6.722507681061538E-6, savedb9=1.2835795657791053E-10, saveda9=5.590835538387394E-6}
